"","count mouses","count cats","count sunflowers"
,"8","9","245"
,"8","9","257"
,"8","9","257"
,"8","9","263"
,"8","9","261"
,"8","9","275"
,"8","9","275"
,"8","9","277"
,"8","9","277"
,"8","9","275"
,"8","9","275"
,"8","9","280"
,"8","9","278"
,"8","8","277"
,"8","8","276"
,"8","8","279"
,"8","8","279"
,"8","8","282"
,"8","7","281"
,"8","7","281"
,"8","7","281"
,"8","7","282"
,"8","7","281"
,"8","7","281"
,"8","7","281"
,"8","7","280"
,"8","7","280"
,"8","7","285"
,"8","7","285"
,"8","7","287"
,"8","7","287"
,"8","7","287"
,"8","7","287"
,"8","7","288"
,"7","7","288"
,"7","7","287"
,"7","7","286"
,"7","7","287"
,"7","7","287"
,"7","7","289"
,"7","7","289"
,"7","7","289"
,"7","7","288"
,"7","7","293"
,"7","7","293"
,"7","7","299"
,"7","8","297"
,"7","8","297"
,"7","8","296"
,"7","8","295"
,"7","8","294"
,"7","8","294"
,"7","8","292"
,"7","8","292"
,"7","8","292"
,"7","8","292"
,"7","8","291"
,"7","8","291"
,"7","8","291"
,"7","8","291"
,"7","8","291"
,"7","8","297"
,"7","8","297"
,"7","8","320"
,"7","8","320"
,"7","8","319"
,"7","8","319"
,"7","8","323"
,"7","8","323"
,"7","8","333"
,"7","8","333"
,"7","7","333"
,"7","7","332"
,"7","7","359"
,"7","7","356"
,"7","7","365"
,"7","7","365"
,"7","6","366"
,"7","6","365"
,"7","6","363"
,"7","6","363"
,"7","6","362"
,"7","6","362"
,"7","6","375"
,"7","6","375"
,"7","6","375"
,"7","6","374"
,"7","6","377"
,"7","6","376"
,"7","6","381"
,"7","6","380"
,"7","6","387"
,"7","6","387"
,"7","6","386"
,"7","6","386"
,"7","6","392"
,"7","6","392"
,"7","6","397"
,"7","6","396"
,"6","6","396"
,"6","6","396"
,"6","6","408"
,"6","6","408"
,"6","6","430"
,"6","6","429"
,"6","6","437"
,"6","6","437"
,"6","6","463"
,"6","6","462"
,"6","6","469"
,"6","6","469"
,"6","6","468"
,"6","6","467"
,"6","6","476"
,"6","6","476"
,"6","6","475"
,"6","6","475"
,"6","6","480"
,"6","6","480"
,"7","6","485"
,"7","6","483"
,"7","6","482"
,"7","6","480"
,"7","6","481"
,"7","6","481"
,"7","6","480"
,"7","6","479"
,"7","5","478"
,"7","5","476"
,"7","5","486"
,"7","5","485"
,"7","5","491"
,"7","5","491"
,"7","5","490"
,"7","5","490"
,"7","5","491"
,"7","5","490"
,"7","5","489"
,"7","5","485"
,"7","5","485"
,"7","5","484"
,"7","5","486"
,"7","5","486"
,"7","5","485"
,"7","5","484"
,"7","5","494"
,"7","4","494"
,"7","4","504"
,"7","4","503"
,"7","4","507"
,"7","4","507"
,"7","4","507"
,"7","4","507"
,"7","4","505"
,"7","4","504"
,"7","4","503"
,"7","4","502"
,"7","4","501"
,"7","4","501"
,"7","4","501"
,"7","3","500"
,"7","3","500"
,"7","3","499"
,"7","3","515"
,"7","3","515"
,"7","3","555"
,"7","3","555"
,"7","3","554"
,"7","3","554"
,"7","3","559"
,"7","3","559"
,"7","3","573"
,"7","2","572"
,"7","2","571"
,"7","2","569"
,"7","2","615"
,"7","2","613"
,"7","2","627"
,"7","2","625"
,"7","2","625"
,"7","2","625"
,"7","2","623"
,"7","2","623"
,"7","2","622"
,"7","2","620"
,"7","2","642"
,"7","2","641"
,"7","2","640"
,"7","2","640"
,"7","2","647"
,"7","2","646"
,"7","2","656"
,"7","2","655"
,"7","2","662"
,"7","2","662"
,"7","2","665"
,"7","2","663"
,"7","2","670"
,"7","2","670"
,"7","2","677"
,"7","2","676"
,"7","2","676"
,"7","2","676"
,"7","2","692"
,"7","2","691"
,"7","2","731"
,"7","2","730"
,"7","2","742"
,"7","2","741"
,"7","2","788"
,"7","2","785"
,"7","2","797"
,"7","2","797"
,"7","2","797"
,"7","2","796"
,"7","2","811"
,"7","2","811"
,"7","2","809"
,"7","2","807"
,"7","2","816"
,"7","2","816"
,"7","2","822"
,"7","1","820"
